Name, City, State, Zip, Address, Price, Date,
The Cornelius Apartments, Seattle,WA,98121,306 Blanchard St,$1295 - 3280,2020-05-10,
Cirrus, Seattle,WA,98121,2030 8th Ave,$2360 - 5250,2020-05-10,
Expo, Seattle,WA,98109,118 Republican St,$1668 - 3396,2020-05-10,
Array, Seattle,WA,98125,14027 Lake City Way NE,$1425 - 2380,2020-05-10,
AVA Ballard, Seattle,WA,98107,5555 14th Ave NW,$1555 - 2810,2020-05-10,
The Bernard, Seattle,WA,98109,115 Warren Ave N,$1832 - 2164,2020-05-10,
Noba Apartments, Seattle,WA,98117,8022 15th Ave NW,$1375 - 3655,2020-05-10,
Collage, Seattle,WA,98103,3606 Woodland Park Ave N,$1612 - 1789,2020-05-10,
Domaine, Seattle,WA,98109,2483 Birch Ave N,$1950 - 2048,2020-05-10,
Belay Apartments, Seattle,WA,98117,6559 15th Ave NW,$1455 - 2040,2020-05-10,
The Audrey at Belltown, Seattle,WA,98121,2922 Western Ave,$1827 - 2878,2020-05-10,
8th + Republican, Seattle,WA,98109,430 Eighth Ave N,$2110 - 3444,2020-05-10,
AVA Queen Anne, Seattle,WA,98119,330 3rd Ave,$2020 - 3980,2020-05-10,
Residences At 3295, Seattle,WA,98126,3295 SW Avalon Way,$1448 - 2249,2020-05-10,
Delridge Crossing, Seattle,WA,98106,2425 SW Webster St,$1665,2020-05-10,
Northgate Apartments, Seattle,WA,98125,11060 NE 2nd Ave,Call for Rent,2020-05-10,
Carolina Court, Seattle,WA,98109,527 Eastlake Ave,Call for Rent,2020-05-10,
Northline Apartments, Seattle,WA,98133,14359 Linden Ave N,$1434 - 1939,2020-05-10,
Beacon View, Seattle,WA,98144,1701 12th Ave S,$1631,2020-05-10,
Zindorf, Seattle,WA,98104,714 7th Ave,$1025 - 1286,2020-05-10,
Parla, Seattle,WA,98117,9176 Holman Rd NW,$1615 - 2655,2020-05-10,
The Noble Apartments, Seattle,WA,98103,4301 Stone Way N,$1738 - 3669,2020-05-10,
City Views, Seattle,WA,98126,3021 SW Bradford St,$1395 - 1795,2020-05-10,
700 Broadway Apartments, Seattle,WA,98102,700 Broadway Ave E,$2340,2020-05-10,
Modera Jackson, Seattle,WA,98144,1801 S Jackson St,$1581 - 3295,2020-05-10,
Wharfside Pointe, Seattle,WA,98119,3812-3827 14th Ave W,$1698 - 2401,2020-05-10,
Collins on Pine, Seattle,WA,98122,1601 13th Ave,$2123 - 3172,2020-05-10,
Fountain Court, Seattle,WA,98121,2400 4th Ave,$1701 - 3099,2020-05-10,
Avalon Belltown Towers, Seattle,WA,98121,210 Wall St,$1970 - 8500,2020-05-10,
AVA Belltown, Seattle,WA,98121,2800-2816 Western Ave,$1800 - 2390,2020-05-10,
AVA Capitol Hill, Seattle,WA,98122,1530 Belmont Ave,$1847 - 3695,2020-05-10,
Marketside Flats, Seattle,WA,98101,84 Union St,$1590 - 2890,2020-05-10,
Boxcar, Seattle,WA,98109,975 John St,$1732 - 1762,2020-05-10,
Monticello, Seattle,WA,98104,415 Boren Ave,$1316,2020-05-10,
Beryl Apt Homes, Seattle,WA,98122,1200 E Pike St,$1718 - 2600,2020-05-10,
The Park At Northgate, Seattle,WA,98125,10713 Roosevelt Way NE,$1697 - 1925,2020-05-10,
Citizen, Seattle,WA,98122,1222 E Madison St,$1508 - 2325,2020-05-10,
Joseph Arnold Lofts, Seattle,WA,98121,62 Cedar St,$1130 - 7406,2020-05-10,
REV Fremont, Seattle,WA,98107,317 NW 41st St,$1495 - 1875,2020-05-10,
The Flats at Interbay, Seattle,WA,98119,3036 16th Ave W,$1578 - 2074,2020-05-10,
Metroline Flats, Seattle,WA,98104,915 E Spruce St,$1735 - 2915,2020-05-10,
Icon Apartments, Seattle,WA,98104,400 S Jackson St,$1699 - 2499,2020-05-10,
Westside Flats, Seattle,WA,98126,3233 SW Avalon Way,$1950 - 2325,2020-05-10,
Greenlake Terrace Apartments, Seattle,WA,98115,7415 5th Ave NE,$1650 - 2350,2020-05-10,
Clarendon, Seattle,WA,98109,105 Warren Ave N,$1995 - 2270,2020-05-10,
1404 Boylston, Seattle,WA,98122,1404 Boylston Ave,$1222 - 2045,2020-05-10,
Rooster Apartments, Seattle,WA,98115,900 NE 65th St,$1843 - 3280,2020-05-10,
LaVie at Queen Anne, Seattle,WA,98109,229 Queen Anne Ave,$1699 - 2399,2020-05-10,
Manhattan, Seattle,WA,98148,18243 1st Ave S,Call for Rent,2020-05-10,
Walton Lofts, Seattle,WA,98121,75 Vine St,$2237 - 5296,2020-05-10,
Axis, Seattle,WA,98109,123 2nd Ave N,$1850 - 4410,2020-05-10,
TRESSA, Seattle,WA,98133,14200 Linden Ave N,$1099 - 1495,2020-05-10,
Park 3025, Seattle,WA,98125,3025 NE 137th St,$1790 - 1950,2020-05-10,
Avant Apartments, Seattle,WA,98122,2112 E Denny Way,$1275 - 2863,2020-05-10,
Charlesgate, Seattle,WA,98121,2230 4th Ave,$1250 - 1400,2020-05-10,
Janus Apartments, Seattle,WA,98117,121 NW 85th St,$1705 - 2405,2020-05-10,
AMLI 535, Seattle,WA,98109,535 Pontius Ave N,$1719 - 5323,2020-05-10,
U20 Apartments, Seattle,WA,98105,4536 20th Ave NE,$1195 - 1355,2020-05-10,
Affordable University District Studios!, Seattle,WA,98105,4730 20th Ave NE,$800 - 1200,2020-05-10,
The Stax, Seattle,WA,98105,5001 Brooklyn Ave NE,$760 - 1425,2020-05-10,
Montisi, Seattle,WA,98126,4122 36th Ave SW,$999 - 1275,2020-05-10,
North Court Apartments, Seattle,WA,98133,2237 N 106th St,$1335 - 1695,2020-05-10,
Illumina Lake Union, Seattle,WA,98102,219 E Garfield St,$1474 - 2240,2020-05-10,
Fifty Two Apartment, Seattle,WA,98105,4710 20th Ave NE,$1300 - 1950,2020-05-10,
Vista 7011, Seattle,WA,98115,7011 Roosevelt Way NE,$1295 - 1988,2020-05-10,
Sidney, Seattle,WA,98121,400 Wall St,$1895 - 1995,2020-05-10,
Towers on Greenwood, Seattle,WA,98103,8551 Greenwood Ave N,$1499 - 2199,2020-05-10,
Meridian Place Apartments, Seattle,WA,98133,10711 Meridian Ave N,$1399 - 2149,2020-05-10,
Coronado Springs, Seattle,WA,98146,1400 SW 107th St,$1007 - 1559,2020-05-10,
Milan Apartments, Seattle,WA,98103,4300 Aurora Ave N,$1500 - 2175,2020-05-10,
VIBE Fremont, Seattle,WA,98103,3601 Greenwood Ave N,$1595 - 2545,2020-05-10,
Elliott Bayview, Seattle,WA,98109,151 John St,$1755 - 2975,2020-05-10,
Robins Nest, Seattle,WA,98102,3272 Fuhrman Ave E,$1495 - 1595,2020-05-10,
A.W. Larson Building, Seattle,WA,98102,3206 Harvard Ave E,$1345,2020-05-10,
Oslo, Seattle,WA,98102,323 Bellevue Ave E,$1854 - 2650,2020-05-10,
Reverie, Seattle,WA,98144,3309 Beacon Ave S,$1350 - 1950,2020-05-10,
NoCo Apartments, Seattle,WA,98118,4525 Rainier Ave S,$1040 - 1350,2020-05-10,
Brentwood Square, Seattle,WA,98133,13433 Greenwood Ave N,$1309 - 1699,2020-05-10,
Nolan and Nora, Seattle,WA,98105,4717 Brooklyn Ave NE,$1077 - 1765,2020-05-10,
Harlow Heights, Seattle,WA,98108,4351 15th Ave S,$2100 - 2300,2020-05-10,
City Watch Apartments, Seattle,WA,98116,4744 41st Ave SW,$2080,2020-05-10,
The Blakely at Echo Lake (Senior 55+*), Seattle,WA,98133,1140-1160 N 192nd St,$1216 - 1559,2020-05-10,
Alley24, Seattle,WA,98109,241 Yale Ave N,$1500 - 3999,2020-05-10,
999 Hiawatha Apartments, Seattle,WA,98144,999 Hiawatha Place South,$1425 - 1950,2020-05-10,
Greenwood Place Apartments, Seattle,WA,98133,14307 Greenwood Ave N,$2195 - 2295,2020-05-10,
Reserve at SeaTac- 55+ Active Senior Living, Seattle,WA,98188,19707 International Blvd,$937 - 1466,2020-05-10,
The Savoy at Lake City, Seattle,WA,98125,13730 Lake City Way NE,$1599 - 2350,2020-05-10,
1111 East Olive Apartments, Seattle,WA,98122,1111 E Olive St,$2355 - 4275,2020-05-10,
Northbrook Place, Seattle,WA,98125,10215 Lake City Way,$1695,2020-05-10,
Vali Hai, Seattle,WA,98109,800 1st Ave N,$1325 - 2400,2020-05-10,
Skyline House Apartments, Seattle,WA,98119,600 W Olympic Pl,$1600 - 2500,2020-05-10,
The Marlborough, Seattle,WA,98101,1220 Boren Ave,$1795 - 5195,2020-05-10,
AJ Apartments, Seattle,WA,98116,4505 42nd Ave SW,$1600 - 3100,2020-05-10,
Charbonneau Apartments, Seattle,WA,98101,1201 Boylston Ave,$1795 - 1995,2020-05-10,
The Westside, Seattle,WA,98102,801 E Thomas St,$1700 - 2495,2020-05-10,
Sandpiper Apartments, Seattle,WA,98198,3100 S 208th St,$1395 - 1895,2020-05-10,
La Vista Apartments, Seattle,WA,98188,5565 152nd St,$1200 - 1500,2020-05-10,
Modern Luxe Condos, Seattle,WA,98121,300 Lenora St,$2500 - 5500,2020-05-10,
Franklin Station, Seattle,WA,98102,2303 Franklin Ave E,$1325 - 2995,2020-05-10,
Solis, Seattle,WA,98122,1300 E Pike St,$2145 - 3925,2020-05-10,
Mcguire Court Apartments, Seattle,WA,98125,10740 NE 8th Ave,$1225,2020-05-10,
Muir Apartments, Seattle,WA,98114,718 Rainier Ave S,$1695 - 1795,2020-05-10,
Linden Flats Apartments, Seattle,WA,98133,13280 Linden Ave N,$1168 - 1404,2020-05-10,
Denny 18, Seattle,WA,98122,1823 18th Ave,$2500 - 3295,2020-05-10,
The Grove, Seattle,WA,98107,6301 15th Ave NW,$1546 - 1700,2020-05-10,
Autumn Ridge Apartments, Seattle,WA,98133,15135 Stone Ln N,$1695 - 1795,2020-05-10,
The Nelson, Seattle,WA,98133,14300 Greenwood Ave N,$1375 - 2200,2020-05-10,
Lillehammer, Seattle,WA,98117,7016 15th Ave NW,$1595 - 1915,2020-05-10,
Gardner House Apartments, Seattle,WA,98144,2807 S Hanford St,$1008 - 1215,2020-05-10,
Lake Washington Apartments, Seattle,WA,98118,9061 Seward Park Ave S,$1003 - 1599,2020-05-10,
Carkeek Park Place, Seattle,WA,98177,431 NW 100th Pl,$1650,2020-05-10,
Hidden Creek Village, Seattle,WA,98125,13751 32nd Ave. N.E.,$1025 - 1525,2020-05-10,
Lake City Court, Seattle,WA,98125,12536 33rd Ave NE,$1173 - 1813,2020-05-10,
Sanford Hildebrandt Seattle Active Seniors, Seattle,WA,98133,747 N 135th St,$763 - 904,2020-05-10,
TOD Apartments, Seattle,WA,98102,120 10th Ave E,$1399 - 1740,2020-05-10,
Balfour Place Apartments, Seattle,WA,98101,1820 Minor Ave,$1093,2020-05-10,
Rainier Vista, Seattle,WA,98108,4616 Martin Luther King Jr Way S,Call for Rent,2020-05-10,
Watercrest, Lake Forest Park,WA,98155,14812 Bothell Way NE,$1530 - 3405,2020-05-10,
Arbour Court Apartments, Burien,WA,98168,2225 S 112th St,$1425 - 2250,2020-05-10,
8760 Greenwood Ave N Unit 204n,Seattle,WA,98103,8760 Greenwood Ave N Unit 204n,$2350,2020-05-10,
11326 3rd Ave NE Unit 103,Seattle,WA,98125,11326 3rd Ave NE Unit 103,$1900,2020-05-10,
Verve Flats, Seattle,WA,98105,4302 7th Ave NE,$1226 - 1755,2020-05-10,
Clearwater Apartments - Star Apartments, Seattle,WA,98122,167 11th Ave,$1295 - 3550,2020-05-10,
The Ludlow, Seattle,WA,98122,701-711 E Pike St,$1270 - 1545,2020-05-10,
The Edge, Seattle,WA,98102,500 13th Ave E,$1570 - 1670,2020-05-10,
Mad Flats, Seattle,WA,98122,1523 E Madison St,$1056 - 1297,2020-05-10,
The Central, Seattle,WA,98122,2203-2207 E Union St,$1235 - 4010,2020-05-10,
Ruth Court, Seattle,WA,98112,123 18th Ave E,$1595,2020-05-10,
Puget Vista, Seattle,WA,98119,411 W Republican St,$1279,2020-05-10,
The Weatherford, Seattle,WA,98102,1321 E John St,$2050 - 2150,2020-05-10,
Spring Lake Apartments, Seattle,WA,98125,12530 35th Ave NE,$1275,2020-05-10,
Valdok, Seattle,WA,98107,1701 NW 56th St,$1597 - 3649,2020-05-10,
Twenty20 Mad, Seattle,WA,98122,2020 E Madison St,$1765 - 3813,2020-05-10,
The Sedges - Property, Seattle,WA,98103,8623 N Palatine Ave N,$1750 - 2050,2020-05-10,
Huxley, Seattle,WA,98116,4754 Fauntleroy Way SW,$2715 - 5890,2020-05-10,
Rubix, Seattle,WA,98102,515 Harvard Ave E,$1800 - 2000,2020-05-10,
SOUTHSIDE BY VINTAGE, Seattle,WA,98168,125 SW 112th St,$1306,2020-05-10,
Hill Crest, Seattle,WA,98126,7524 35th Ave SW,$1539 - 4604,2020-05-10,
Union Arms Apartments, Seattle,WA,98122,604-614 E Union St,$1200 - 1450,2020-05-10,
Parkridge Apartments, Seattle,WA,98112,1210 15th Ave,Call for Rent,2020-05-10,
Magnolia and Magnolia Crest, Seattle,WA,98199,3520 28th Ave W,$1650 - 2540,2020-05-10,
Rainier View Homes, Seattle,WA,98178,12672 60th Ave S,$2600 - 2900,2020-05-10,
1715 Apartments, Seattle,WA,98107,1715 NW 58th St,$825 - 1150,2020-05-10,
Kulle Urban Living, Seattle,WA,98122,1815 Bellevue Ave,$895 - 1550,2020-05-10,
Normandy Apartments, Seattle,WA,98105,4040 8th Ave NE,$1195,2020-05-10,
Riverview West Apartments, Seattle,WA,98168,10300 Des Moines Memorial Dr,$1450 - 1695,2020-05-10,
Northbridge Apartments, Seattle,WA,98103,3800 Aurora Ave N,$1550 - 2800,2020-05-10,
Spencer House, Seattle,WA,98133,10541 Stone Ave N,$1150,2020-05-10,
Lake Union Tower, Seattle,WA,98109,766 Garfield St,$2050,2020-05-10,
Star Apartments, Seattle,WA,98122,170 11th Ave,$1615,2020-05-10,
Nova, Seattle,WA,98126,4600 36th Ave SW,$1650 - 2200,2020-05-10,
Stockbridge, Seattle,WA,98101,1330 Boren Ave,$1425 - 1485,2020-05-10,
Lakeview Apartments, Seattle,WA,98102,1551-1559 Lakeview Blvd E,$1545 - 1780,2020-05-10,
Ori on The Ave, Seattle,WA,98105,5260 University Way NE,$1380 - 1670,2020-05-10,
Mio Apartments, Seattle,WA,98115,1319 NE 65th St,$1745 - 2160,2020-05-10,
Taylor Creek Apartments, Seattle,WA,98178,7050 S 116th Pl,$1480 - 1700,2020-05-10,
The Q Apartments, Seattle,WA,98109,1321 Queen Anne Ave N,$1650 - 1700,2020-05-10,
Blue Ridge Apartments, Seattle,WA,98117,9600 9th Ave NW,$1195 - 1495,2020-05-10,
PARK HILL/GREENTREE APARTMENTS, Seattle,WA,98178,6900 S 125th St,$1124 - 1442,2020-05-10,
The Portland Building, Seattle,WA,98107,5403 Ballard Ave NW,$1850,2020-05-10,
Altamira Apartments, Seattle,WA,98116,4540 42nd Ave SW,$1495 - 3300,2020-05-10,
Paul Revere, Seattle,WA,98104,1018 9th Ave,$1258 - 2011,2020-05-10,
Vermont Inn, Seattle,WA,98121,2721 4th Ave,$1895,2020-05-10,
3431 16th Ave S Unit A,Seattle,WA,98144,3431 16th Ave S Unit A,$2100,2020-05-10,
3517 110th SW St Unit Basement,Seattle,WA,98146,3517 110th SW St Unit Basement,$1500,2020-05-10,
2100 3rd Ave Unit 1401,Seattle,WA,98121,2100 3rd Ave Unit 1401,$2700,2020-05-10,
716 N 45th St Unit #1,Seattle,WA,98103,716 N 45th St Unit #1,$1250,2020-05-10,
4215 Whitman Ave N Unit 103,Seattle,WA,98103,4215 Whitman Ave N Unit 103,$1425,2020-05-10,
4215 Whitman Ave N Unit 104,Seattle,WA,98103,4215 Whitman Ave N Unit 104,$1695,2020-05-10,
1449 S Main St,Seattle,WA,98144,1449 S Main St,$3300,2020-05-10,
1202 Lakeview Blvd E Unit 1,Seattle,WA,98102,1202 Lakeview Blvd E Unit 1,$3400,2020-05-10,
113 13th Ave,Seattle,WA,98122,113 13th Ave,$2700,2020-05-10,
939 N 101st St Unit 205,Seattle,WA,98133,939 N 101st St Unit 205,$1475,2020-05-10,
5029 Delridge Way SW,Seattle,WA,98106,5029 Delridge Way SW,$3200,2020-05-10,
5015 38th Ave NE,Seattle,WA,98105,5015 38th Ave NE,$1195,2020-05-10,
5015 38th Ave NE Unit 2nd floor,Seattle,WA,98105,5015 38th Ave NE Unit 2nd floor,$1695,2020-05-10,
5015 38th Ave NE Unit COTTAGE,Seattle,WA,98105,5015 38th Ave NE Unit COTTAGE,$1695,2020-05-10,
14007 35th Ave NE Unit 14007,Seattle,WA,98125,14007 35th Ave NE Unit 14007,$2136,2020-05-10,
1415 2nd Ave Unit 2001,Seattle,WA,98101,1415 2nd Ave Unit 2001,$2995,2020-05-10,
3916 Pearl S St Unit 33,Seattle,WA,98118,3916 Pearl S St Unit 33,$1795,2020-05-10,
2009 SW Barton St,Seattle,WA,98106,2009 SW Barton St,$2300,2020-05-10,
9557 Ashworth Ave N Unit A,Seattle,WA,98103,9557 Ashworth Ave N Unit A,$1800,2020-05-10,
1717 Taylor Ave N Unit 1717,Seattle,WA,98109,1717 Taylor Ave N Unit 1717,$1800,2020-05-10,
1307 E John St Unit 105,Seattle,WA,98102,1307 E John St Unit 105,$1750,2020-05-10,
2003 Franklin Ave E Unit 203,Seattle,WA,98102,2003 Franklin Ave E Unit 203,$2250,2020-05-10,
2003 Franklin Ave E Unit 403,Seattle,WA,98102,2003 Franklin Ave E Unit 403,$2295,2020-05-10,
1711 Taylor Ave N Unit 1711,Seattle,WA,98109,1711 Taylor Ave N Unit 1711,$1800,2020-05-10,
4127 12th Ave NE Unit 4,Seattle,WA,98105,4127 12th Ave NE Unit 4,$1680,2020-05-10,
705 N 39th St Unit A,Seattle,WA,98103,705 N 39th St Unit A,$2250,2020-05-10,
116 14th Ave E Unit 1,Seattle,WA,98112,116 14th Ave E Unit 1,$1450,2020-05-10,
4028 California Ave SW Unit A,Seattle,WA,98116,4028 California Ave SW Unit A,$1375,2020-05-10,
1313 Judkins S St Unit A,Seattle,WA,98144,1313 Judkins S St Unit A,$1175,2020-05-10,
4255 Gilman Ave W Unit A,Seattle,WA,98199,4255 Gilman Ave W Unit A,$1350,2020-05-10,
822 6th Ave N Unit C,Seattle,WA,98109,822 6th Ave N Unit C,$3290,2020-05-10,
5101 Ravenna Ave NE Unit 3,Seattle,WA,98105,5101 Ravenna Ave NE Unit 3,$1600,2020-05-10,
5414 Delridge Way SW,Seattle,WA,98106,5414 Delridge Way SW,$3025,2020-05-10,
3043 Alki Ave SW Unit Apt 2,Seattle,WA,98116,3043 Alki Ave SW Unit Apt 2,$3300,2020-05-10,
622 86th NW St Unit A,Seattle,WA,98117,622 86th NW St Unit A,$2400,2020-05-10,
5428 Delridge Way SW Unit C,Seattle,WA,98106,5428 Delridge Way SW Unit C,$2475,2020-05-10,
8801 Aurora Ave N Unit 3,Seattle,WA,98103,8801 Aurora Ave N Unit 3,$995,2020-05-10,
8801 Aurora Ave N Unit 4,Seattle,WA,98103,8801 Aurora Ave N Unit 4,$995,2020-05-10,
8801 Aurora Ave N Unit 19,Seattle,WA,98103,8801 Aurora Ave N Unit 19,$750,2020-05-10,
8801 Aurora Ave N Unit 15,Seattle,WA,98103,8801 Aurora Ave N Unit 15,$1095,2020-05-10,
12329 Roosevelt Way NE Unit A303,Seattle,WA,98125,12329 Roosevelt Way NE Unit A303,$1495,2020-05-10,
12329 Roosevelt Way NE Unit B204,Seattle,WA,98125,12329 Roosevelt Way NE Unit B204,$1495,2020-05-10,
12329 Roosevelt Way NE Unit A304,Seattle,WA,98125,12329 Roosevelt Way NE Unit A304,$1495,2020-05-10,
12329 Roosevelt Way NE Unit A304,Seattle,WA,98125,12329 Roosevelt Way NE Unit A304,$1495,2020-05-10,
7015 Rainier Ave S Unit 14,Seattle,WA,98118,7015 Rainier Ave S Unit 14,$1275,2020-05-10,
7015 Rainier Ave S Unit 8,Seattle,WA,98118,7015 Rainier Ave S Unit 8,$1250,2020-05-10,
7005 Rainier Ave S Unit 4,Seattle,WA,98118,7005 Rainier Ave S Unit 4,$1200,2020-05-10,
5502 15th Ave NE Unit 4,Seattle,WA,98105,5502 15th Ave NE Unit 4,$1375,2020-05-10,
2436 S Graham St Unit 11,Seattle,WA,98108,2436 S Graham St Unit 11,$1195,2020-05-10,
5420 Delridge Way SW,Seattle,WA,98106,5420 Delridge Way SW,$2475,2020-05-10,
412 30th Ave E,Seattle,WA,98112,412 30th Ave E,$3400,2020-05-10,
7940 35th Ave SW,Seattle,WA,98126,7940 35th Ave SW,$1600,2020-05-10,
308 E Republican St Unit 412,Seattle,WA,98102,308 E Republican St Unit 412,$1995,2020-05-10,
4127 12th Ave NE Unit 9,Seattle,WA,98105,4127 12th Ave NE Unit 9,$1040,2020-05-10,
1120 93rd N St Unit 405,Seattle,WA,98103,1120 93rd N St Unit 405,$1445,2020-05-10,
1120 93rd N St Unit 403,Seattle,WA,98103,1120 93rd N St Unit 403,$1795,2020-05-10,
1707 NW 57th St Unit 205,Seattle,WA,98107,1707 NW 57th St Unit 205,$2250,2020-05-10,
414 10th Ave,Seattle,WA,98122,414 10th Ave,$625,2020-05-10,
5111 S Dawson St Unit 8,Seattle,WA,98118,5111 S Dawson St Unit 8,$1400,2020-05-10,
1102 8th Ave Unit 202,Seattle,WA,98101,1102 8th Ave Unit 202,$1350,2020-05-10,
1320 University St Unit 203,Seattle,WA,98101,1320 University St Unit 203,$3150,2020-05-10,
1320 University St Unit 205,Seattle,WA,98101,1320 University St Unit 205,$1975,2020-05-10,
204 24th Ave E,Seattle,WA,98112,204 24th Ave E,$3300,2020-05-10,
3811 Aurora Ave N Unit 2,Seattle,WA,98103,3811 Aurora Ave N Unit 2,$2195,2020-05-10,
1402 Cherry E St Unit j,Seattle,WA,98122,1402 Cherry E St Unit j,$1680,2020-05-10,
8372 Wabash Ave S,Seattle,WA,98118,8372 Wabash Ave S,$3100,2020-05-10,
